_id,userId,tweetId,createdAt,favorites,text,replies,retweets,hashtag
5f35f86ef43e680f54dbc173,838484029,1294093992989208578,2020-08-14T02:10:25.000Z,12,"Entonces, ¿qué ha pasado con Montealegre, Perdomo y Barceló?, la respuesta es NADA.

La CSJ tiene vínculos con estos individuos que avergüenzan la justicia colombiana. Fueron ellos quienes querían cambiar testimonios al igual que Cepeda.

#CorteEscuheAlTuso,
#UribeSecuestrado. https://t.co/GUvYLi2UQg",1,15,#UribeSecuestrado
5f35f86ff43e680f54dbc174,170883038,1294085397237182464,2020-08-14T01:36:16.000Z,19,"NarcoTerroristas Farc y sus aliados llevan 20 años con una campaña de desprestigio contra Uribe para ambientar su asesinato...como les quedo grande, se asocian con Santos y el #CartelDeLaToga para secuestrarlo.
#UribeSecuestrado https://t.co/Git1xT3mzt",7,22,#UribeSecuestrado
5f35f9380a3a551620bdc4b0,135885534,1294061696475160579,Fri Aug 14 00:02:05 +0000 2020,247,"- La Corte Suprema no deja que testigos a favor de Uribe declaren.
- La Corte Suprema priva de su libertad a Uribe con un auto de 1554 páginas.
- La Corte Suprema filtra información reservada a periodistas.

Es claro que @AlvaroUribeVel está secuestrado. #UribeSecuestrado",72,181,#UribeSecuestrado
5f35f9390a3a551620bdc4b2,559182786,1294062088369864704,Fri Aug 14 00:03:39 +0000 2020,24,"La Sala de Instrucción de @CorteSupremaJ tiene a @AlvaroUribeVel secuestrado. #UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado
#UribeSecuestrado",4,20,#UribeSecuestrado
5f35f93b0a3a551620bdc4b4,1052546703704936449,1294094028972199936,Fri Aug 14 02:10:34 +0000 2020,5,"⚡️Trending Topic #Colombia 13/08/2020 21:00👁‍🗨💬

1. #UribeSecuestrado
2. Postobón
3. CNCO PRENDE PJ
4. Diego Daza
5. #LibresDeVerdad
6. Puente Aranda
7. antonio nariño
8. San Andrés
9. #PremiosJuventud
10. Pepita

@TendenciaCol🔥",0,5,#UribeSecuestrado
5f35f9540a3a551620bdc4b6,965331540,1294055466436186112,Thu Aug 13 23:37:20 +0000 2020,1110,"No respeto ni acato un secuestro, lo que vamos a buscar es el mecanismo de participación idóneo para sacar a las FARC de las instituciones. #UribeSecuestrado",98,615,#UribeSecuestrado
5f35f9580a3a551620bdc4b8,581874434,1294069485570228224,Fri Aug 14 00:33:02 +0000 2020,314,"Cuando muchos de los opositores de @AlvaroUribeVel me decían: ""Uribe, el más poderoso de Colombia, maneja todo a su antojo"" ahora respondo: lo que realmente maneja, es la coherencia y la transparencia, de frente siempre, dando la cara sin miedo a nada. #UribeSecuestrado",19,157,#UribeSecuestrado
5f35f9590a3a551620bdc4ba,116827501,1294086545020981248,Fri Aug 14 01:40:49 +0000 2020,198,"No es lo mismo decir...

“Uribe fue privado de su libertad en el marco de una medida preventiva mediante un auto que contiene pruebas”

que decir...

“Uribe fue secuestrado en el marco de una desmedida animadversión mediante un camión que contiene basura”

#UribeSecuestrado https://t.co/bh9Ci5u7mt",14,126,#UribeSecuestrado
5f35f95f0a3a551620bdc4bc,1027270314,1294006720147206144,Thu Aug 13 20:23:38 +0000 2020,130,¡Mi Cali bella❤️❤️! Gracias al liderazgo de Ceci Bedoya de Velasco @mariaceci54 y @jacquelinclarks por esta hermosa valla. #UribeSecuestrado https://t.co/0O3XImVBSS,132,82,#UribeSecuestrado
5f35f9620a3a551620bdc4be,25490757,1294074365634543616,Fri Aug 14 00:52:26 +0000 2020,285,"Acá les muestro el aparte de la entrevista donde el Tuso Sierra dice que nunca se ha reunido con Álvaro Uribe. La Corte Suprema de Justicia miente.
#UribeSecuestrado https://t.co/PwhhURg6c7",24,200,#UribeSecuestrado
5f35f972aa19020608629045,343563998,1294101358333890560,Fri Aug 14 02:39:41 +0000 2020,0,@skininkblack @jomacar19 @CorteSupremaJ @AlvaroUribeVel #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado  #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado #UribeSecuestrado,0,0,#UribeSecuestrado
5f35f974aa19020608629047,25490757,1293945405747744770,Thu Aug 13 16:19:59 +0000 2020,780,"El Tuso Sierra dice clarito que la CSJ  no lo han querido escuchar en el caso de Álvaro Uribe.
Él declara que Rodrigo Lara, Piedad Córdoba e Iván Cepeda le visitaron a ofrecer asilo político si declaraba contra Uribe. Pero la CSJ no los investiga a ellos. 
#UribeSecuestrado",43,629,#UribeSecuestrado
5f35f97f4c7e8d0cf01063fb,3128657972,1294088406176165891,Fri Aug 14 01:48:13 +0000 2020,28,"Parte de la razón por la que encarcelaron a Uribe,  fue por qué, según, el habló con el Tuso, pero el Tuso dice que NO conoce a Uribe. No quieren citar al Tuso. En fin! No es exagerado decir que Uribe,  esta secuestrado por las cortes!  #UribeSecuestrado",2,18,#UribeSecuestrado
5f35f9834c7e8d0cf01063fd,2511314292,1294065623706861569,Fri Aug 14 00:17:41 +0000 2020,12,"@jarizabaletaf #UribeSecuestrado por @CorteSupremaJ, FARC, partidos de izquierda y el perverso hijo de la UP @IvanCepedaCast utilizando su posición en el Senado para visitar cárceles nacionales y extranjeras y hacer presuntos  montajes. Pedimos a @TheJusticeDept investigar a qué fué a #EEUU",2,11,#UribeSecuestrado
5f35f9854c7e8d0cf01063ff,2825483244,1294074841658687489,Fri Aug 14 00:54:19 +0000 2020,105,"🇺🇸A la cárcel por fraude procesal y soborno
🇫🇷A la cárcel por fraude procesal y soborno
🇨🇦A la cárcel por fraude procesal y soborno
🇩🇪A la cárcel por fraude procesal y soborno
🇬🇧A la cárcel por fraude procesal y soborno

🇨🇴 tres camionetas,#UribeSecuestrado",0,40,#UribeSecuestrado
5f35f9894c7e8d0cf0106401,1294085749629911041,1294099660034969601,Fri Aug 14 02:32:56 +0000 2020,0,"#UribeSecuestrado  O escribes algo que merezca la pena leer, o haces algo que merezca la pena escribir. pronto una empresa que te ayudara en tu crecimiento economico RT siguenos",0,1,#UribeSecuestrado
5f35f9ae4c7e8d0cf0106405,1027270314,1293950841033052162,Thu Aug 13 16:41:35 +0000 2020,262,"El Tuso Sierra le confirma a @VickyDavilaH que la carta con su declaración no es falsa, que sí fue firmada por él y que la CSJ jamás lo llamó para testificar sobre su testimonio. #UribeSecuestrado",5,202,#UribeSecuestrado
5f35f9b24c7e8d0cf0106406,905901930635022336,1294101629059334144,Fri Aug 14 02:40:46 +0000 2020,0,"sí #UribeSecuestrado está le propongo intercambio humanitario yo me ira para esa mediagua que tiene y el tomaría mis labores diarias, ir a trabajar por un SMLV sin Horas extras andar en bus. Los de a pie estamos secuestrados por el uribismo trabajamos para cubrir gastos basicos.",0,0,#UribeSecuestrado
5f35f9b2dc317c22307901ed,905901930635022336,1294101629059334144,Fri Aug 14 02:40:46 +0000 2020,0,"sí #UribeSecuestrado está le propongo intercambio humanitario yo me ira para esa mediagua que tiene y el tomaría mis labores diarias, ir a trabajar por un SMLV sin Horas extras andar en bus. Los de a pie estamos secuestrados por el uribismo trabajamos para cubrir gastos basicos.",0,0,#UribeSecuestrado
5f35f9c2dc317c22307901ef,3475775295,1294098525165432833,Fri Aug 14 02:28:26 +0000 2020,1,"#UribeSecuestrado esperemos que la corte y todos los jueces de la república, ""sigan secuestrando a todos los que creen que la ley es un rollo de papel higiénico.""",0,1,#UribeSecuestrado
5f35f9c24c7e8d0cf0106408,3475775295,1294098525165432833,Fri Aug 14 02:28:26 +0000 2020,1,"#UribeSecuestrado esperemos que la corte y todos los jueces de la república, ""sigan secuestrando a todos los que creen que la ley es un rollo de papel higiénico.""",0,1,#UribeSecuestrado
5f35f9de4c7e8d0cf010640a,1027270314,1293947558738513921,Thu Aug 13 16:28:33 +0000 2020,895,"El Tuso Sierra en Semana con @VickyDavilaH volvió a confirmar que Cepeda y Piedad Córdoba, cuando lo visitaron en una cárcel Federal de los EEUU, le ofrecieron dádivas y asilo político a cambio de testificar en contra de los hermanos Uribe. #UribeSecuestrado",49,676,#UribeSecuestrado
5f35f9e34c7e8d0cf010640b,1242107520723935233,1294101834588721158,Fri Aug 14 02:41:35 +0000 2020,0,@DomingoNumero1 @lfsanchezme @DCoronell @VickyDavilaH @CorteSupremaJ Ni los de Salud Hernández y los del programa La noche de Claudia Bursátil #UribeSecuestrado,0,0,#UribeSecuestrado
5f35f9e74c7e8d0cf010640d,1256282041961926663,1294101850791333888,Fri Aug 14 02:41:39 +0000 2020,0,"#UribeSecuestrado voy a seguir en la lucha 
#EducaAUnUribista : no se dice Uribe está secuestrado se dice :
Uribe está preso ....PRESO
P.R.E.S.O.   
P.......R......E ......S.....O
R
E
S
O

saludos !!!!",0,0,#UribeSecuestrado
5f35fa06e27ca00bb89a65b8,1190058320775827456,1294060936463028226,Thu Aug 13 23:59:04 +0000 2020,27,"#UribeSecuestrado y el solo se sigue preocupando por esta desagradecida patria de NarcoTerroristas que lo tienen secuestrado con órdenes de aseguramiento para matar moralmente no solo a él y su familia, también su legado y logros, no dejemos que nos borren la memoria, la historia https://t.co/msjDsjgTp4",2,22,#UribeSecuestrado
5f35fa1de27ca00bb89a65ba,1027270314,1293943673214906370,Thu Aug 13 16:13:06 +0000 2020,131,El Tuso Sierra en Semana con @VickyDavilaH : Ya no quiere declarar en el caso Uribe por miedo a que le compulsen copias. Todo aquel que quiera declarar le harán lo mismo. #UribeSecuestrado,4,93,#UribeSecuestrado
5f35fa22e27ca00bb89a65bb,3202445692,1294102097374347265,Fri Aug 14 02:42:37 +0000 2020,0,"Claro, secuestrado en su finca de más de 1.500 hectáreas, con wifi, aire acondicionado, tv por cable, comida a montón, licor, lujos, dinero, caballos, ganado, vehículos, varios Iphones, con su familia, sirvientes, piscina, juegos diversos, seguridad 24h.
#UribeSecuestrado",0,0,#UribeSecuestrado
5f35fa29e27ca00bb89a65bd,2713834300,1294102126071894022,Fri Aug 14 02:42:44 +0000 2020,0,La gente que se inventó esto en serio se metieron frutiño por la nariz jajajajjaja #UribeSecuestrado le recuerdo que el páraco está es preso por criminal y lo que le falta hp.,0,0,#UribeSecuestrado
5f35fa3fe27ca00bb89a65bf,800436606,1294102219382562817,Fri Aug 14 02:43:07 +0000 2020,0,"#UribeSecuestrado @IvanDuque es tan inútil, que le metieron preso al patrón, mientras él estaba gobernando... Perdón le secuestraron al patrón...",0,0,#UribeSecuestrado
5f35fa3f2784fe0b087fa6af,800436606,1294102219382562817,Fri Aug 14 02:43:07 +0000 2020,0,"#UribeSecuestrado @IvanDuque es tan inútil, que le metieron preso al patrón, mientras él estaba gobernando... Perdón le secuestraron al patrón...",0,0,#UribeSecuestrado
5f35fa3f2784fe0b087fa6b1,167272117,1294052050674814976,Thu Aug 13 23:23:45 +0000 2020,487,#UribeSecuestrado En una hacienda que es diez veces el municipio en el que vivo. Definitivamente ser uribista es directamente proporcional a ser retrasado mental.,10,65,#UribeSecuestrado
5f35fa3fe27ca00bb89a65c1,167272117,1294052050674814976,Thu Aug 13 23:23:45 +0000 2020,487,#UribeSecuestrado En una hacienda que es diez veces el municipio en el que vivo. Definitivamente ser uribista es directamente proporcional a ser retrasado mental.,10,65,#UribeSecuestrado
5f35fa48e27ca00bb89a65c3,1125085080165154817,1294049264172240896,Thu Aug 13 23:12:41 +0000 2020,532,"¿ #UribeSecuestrado ? JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJ EL MÁRTIR, EL DRAMA Y EL FANATISMO SESGADO. ESPERA; DE NUEVO: JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJ",8,65,#UribeSecuestrado
5f35fa49e27ca00bb89a65c5,743463379998744576,1294064196951343105,Fri Aug 14 00:12:01 +0000 2020,7,"#UribeSecuestrado Esto pasa cuando la CSJ quiere explicar algo en 1500 paginas, pero en realidad parece que fuera un escrito hecho por el abogado de @IvanCepedaCast 😂...salen las personas a aclarar las mentiras 👇👇👇 https://t.co/Ha5ARdoQtW",2,8,#UribeSecuestrado
5f35fa4ee27ca00bb89a65c7,6329742,1294068486977851398,Fri Aug 14 00:29:04 +0000 2020,36,"¿Se los dije o no?
Aquí les dejo el mapa definitivo. No solo está #UribeSecuestrado sino todos los bogotanos por la loca demente de Claudia López. 

Repetir cuarentena y avisando un día antes en localidades como Chapinero va a quebrar MUCHOS negocios. https://t.co/FoSkr2yM1M",0,18,#UribeSecuestrado
5f35fa84be1f1c2ad47d04c7,4870886243,1294102506914615296,Fri Aug 14 02:44:15 +0000 2020,0,"@CorteSupremaJ perdió el respeto, credibilidad honor como representante de la justicia Colombiana. DAN ASCO.

 parte de la entrevista donde el Tuso Sierra dice que nunca se ha reunido con Álvaro Uribe.  @CorteSupremaJ  miente.
#UribeSecuestrado https://t.co/AxbkNiccnd",0,0,#UribeSecuestrado
5f35fb19be1f1c2ad47d04c9,1206645252,1294103135389188097,Fri Aug 14 02:46:45 +0000 2020,0,"#UribeSecuestrado por una @CorteSupremaJ que no respeta la constitución, que es corrupta, y que a todos los bandidos de izquierda les hace mandados",0,0,#UribeSecuestrado
5f35fb25be1f1c2ad47d04cb,2612632577,1294103185821499393,Fri Aug 14 02:46:57 +0000 2020,0,"#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
#UribeSecuestrado 
❤️❤️❤️",0,0,#UribeSecuestrado
5f35fb2dbe1f1c2ad47d04cd,148215403,1294103219229077504,Fri Aug 14 02:47:05 +0000 2020,0,"Aquí el momento exacto en el que a @VickyDavilaH se le cae su tesis: ""el plan contra Uribe"".

@IvanCepedaCast y @piedadcordoba
NO le pidieron al Tuso que hablara mal de los Uribe a cambio de dádivas.

¿#UribeSecuestrado? No, Uribe está preso: 1087985

https://t.co/FxhXdF0xcE",0,0,#UribeSecuestrado
5f35fba9be1f1c2ad47d04cf,1087027079063982081,1294103736621703169,Fri Aug 14 02:49:08 +0000 2020,0,"Is cliri qii Iribi isti siciistridi. Aquí lo único claro es que el uribismo nos sólo nubla la justicia, también la capacidad de pensar lógicamente.",0,0,#UribeSecuestrado
